Variable,group 1,group 2,n (group 1),n (group 2),mean (group 1),SD (group 1),mean (group 2),SD (group 2),direction,test,p_value,significance,effect size metric,effect size value,normality p (group 1),normality p (group 2),variance test,variance p,Hedges g,rank-biserial (signed),effect 95% CI,p_value_fdr_bh,significant_fdr
DSI,Vehicle,SCH23390,16,16,0.651,0.08,0.451,0.097,Vehicle > SCH23390,Paired t-test,2.5e-05,***,Cohen's dz,1.494,0.526,0.2581,Bartlett,0.4655,1.418,0.956,"[0.91, 2.88]",7.5e-05,True
Firing_rate_Hz,Vehicle,SCH23390,16,16,22.242,1.752,20.799,2.866,Vehicle > SCH23390,Paired t-test,0.090092,ns,Cohen's dz,0.453,0.1554,0.1518,Bartlett,0.0657,0.43,0.441,"[-0.00, 1.14]",0.135138,False
Response_latency_ms,Vehicle,SCH23390,16,16,180.244,10.852,186.638,15.128,Vehicle < SCH23390,Paired t-test,0.180885,ns,Cohen's dz,-0.351,0.2671,0.2632,Bartlett,0.2097,-0.333,-0.338,"[-1.01, 0.14]",0.180885,False
